status:0; attack_plan:[RC::pc:0; bit:7; register:2;]; registers:[0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:0; bit:7; register:2;]; registers:[0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:0; bit:7; register:2;]; registers:[0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:0; bit:6; register:2;]; registers:[0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:0; bit:6; register:2;]; registers:[0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:0; bit:6; register:2;]; registers:[0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:0; bit:5; register:2;]; registers:[0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:0; bit:5; register:2;]; registers:[0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:0; bit:5; register:2;]; registers:[0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:0; bit:4; register:2;]; registers:[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
status:0; attack_plan:[RC::pc:0; bit:4; register:2;]; registers:[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]; globals:[0, 3, 0, 0, 0, 0, 0, 1, 2, 3, 4]
